Date,Open,High,Low,Close,Adj Close,Volume
3/6/2014,4667.780762,4687.856934,4657.013184,4687.856934,4687.717773,4639271000
3/7/2014,4700.415039,4708.461914,4680.5,4685.890137,4685.750977,4413873200
3/10/2014,4665.240234,4689.344238,4654.578125,4677.246094,4677.107422,3683566600
3/11/2014,4673.381836,4706.604004,4672.540039,4704.213867,4704.074219,5057192000
3/12/2014,4680.705078,4698.475098,4667.39209,4684.384766,4684.245605,5066424800
3/13/2014,4694.922852,4726.166992,4691.291016,4726.166992,4726.026367,5268334900
3/14/2014,4693.815918,4878.643066,4676.231934,4878.643066,4878.498047,6418320600
3/17/2014,4887.358887,4903.49707,4845.779785,4876.187988,4876.042969,6862476100
3/18/2014,4878.538086,4895.499023,4802.019043,4805.611816,4805.469238,4825460600
3/19/2014,4817.501953,4838.183105,4816.710938,4821.457031,4821.313965,4208929900
3/20/2014,4807.716797,4808.930176,4691.141113,4698.973145,4698.833496,4682224500
3/21/2014,4710.509766,4736.300781,4661.611816,4700.214844,4700.075195,4634042900
3/24/2014,4712.120117,4727.62207,4695.35791,4720.419922,4720.279785,3251596100
3/25/2014,4706.254883,4712.765137,4694.248047,4703.09082,4702.951172,3355007000
3/26/2014,4708.253906,4744.895996,4707.859863,4728.240234,4728.099609,3402870200
3/27/2014,4721.52002,4758.01123,4717.72998,4723.057129,4722.916992,3569001500
3/28/2014,4737.633789,4769.220215,4737.221191,4768.276855,4768.135254,3889627100
4/1/2014,4796.162109,4873.934082,4793.88916,4873.934082,4873.789063,4612041500
4/2/2014,4878.339844,4902.10498,4857.682129,4870.205078,4870.060547,4789129300
4/3/2014,4877.316895,4896.61084,4876.404785,4891.319824,4891.174805,4086991600
4/4/2014,4894.334961,4899.206055,4839.259766,4857.943848,4857.799805,3529744000
4/7/2014,4855.867188,4930.879883,4852.975098,4921.039063,4920.893066,4007883400
4/8/2014,4922.600098,4933.112793,4906.071777,4921.403809,4921.257813,3740230700
4/9/2014,4922.600098,4933.112793,4906.071777,4921.403809,4921.257813,0
4/10/2014,4829.312988,4829.312988,4739.791992,4765.729004,4765.587402,6461975500
4/11/2014,4734.305176,4816.576172,4721.596191,4816.576172,4816.433105,3826582400
4/14/2014,4812.62793,4870.102051,4812.62793,4864.883789,4864.739746,3689940700
4/15/2014,4872.298828,4893.230957,4863.013184,4870.214844,4870.070313,4069120100
4/16/2014,4883.487793,4893.535156,4870.611816,4873.01123,4872.866211,4263442400
4/17/2014,4897.196777,4906.287109,4883.272949,4897.051758,4896.906738,3045644600
4/21/2014,4912.507813,4915.203125,4887.774902,4892.288086,4892.143066,2634393000
4/22/2014,4889.867188,4898.206055,4858.819824,4898.206055,4898.061035,3136113000
4/23/2014,4892.771973,4916.897949,4887.26709,4893.147949,4893.00293,3620966100
4/24/2014,4891.682129,4916.23291,4880.848145,4891.079102,4890.934082,3662814800
4/25/2014,4893.38623,4916.591797,4891.27002,4897.643066,4897.498047,3521389000
4/28/2014,4895.835938,4901.847168,4818.757813,4818.757813,4818.614746,3221743000
4/29/2014,4810.51416,4823.574219,4800.006836,4819.681152,4819.538086,3267973100
4/30/2014,4834.234863,4846.231934,4827.481934,4840.145996,4840.002441,3485623900
5/2/2014,4845.34082,4858.907227,4835.194824,4838.759766,4838.616211,3657438300
5/5/2014,4842.530762,4856.336914,4838.074219,4842.50293,4842.358887,2831260300
5/6/2014,4845.467773,4855.091797,4828.637207,4834.467773,4834.324219,2557590800
5/7/2014,4833.316895,4869.588867,4828.216797,4862.068848,4861.924805,3210004100
5/8/2014,4878.810059,4889.051758,4842.397949,4860.88916,4860.745117,3001818100
5/9/2014,4865.526855,4898.138184,4863.490234,4898.138184,4897.993164,3384364800
5/12/2014,4907.73877,4929.73291,4907.727051,4912.998047,4912.852051,3596736700
5/13/2014,4933.662109,4941.245117,4902.803223,4921.394043,4921.248047,3236778900
5/14/2014,4938.262207,4991.63623,4936.527832,4991.63623,4991.487793,4706701000
5/16/2014,4983.286133,5031.570801,4977.173828,5031.570801,5031.421387,4226985000
5/19/2014,5053.050781,5091.316895,4976.398926,5014.996094,5014.847656,4663376900
5/20/2014,5009.618164,5010.204102,4865.323242,4895.955078,4895.810059,4034709500
5/21/2014,4885.484863,4913.412109,4868.200195,4910.291992,4910.145996,3168841800
5/22/2014,4931.36084,4974.125,4926.074219,4969.881836,4969.734375,3854122000
5/23/2014,4973.541992,4977.49707,4959.169922,4973.057129,4972.909668,2841475300
5/26/2014,4984.689941,4986.084961,4961.425781,4963.924805,4963.777344,2520005000
5/28/2014,4959.543945,4988.185059,4957.813965,4985.578125,4985.430176,2895572300
5/30/2014,4996.702148,4998.094238,4893.908203,4893.908203,4893.763184,4038538400
6/2/2014,4900.973145,4912.09082,4875.619141,4912.09082,4911.944824,3087932200
6/3/2014,4920.044922,4942.157227,4896.949219,4942.157227,4942.010254,3075328300
6/4/2014,4933.118164,4946.887207,4919.916016,4932.563965,4932.41748,2704736700
6/5/2014,4932.435059,4938.277832,4912.887207,4935.563965,4935.41748,2626990000
6/6/2014,4931.495117,4958.432129,4928.895996,4937.175781,4937.029297,2595262200
6/9/2014,4945.838867,4948.611816,4876.187988,4885.083008,4884.937988,3076235700
6/10/2014,4893.707031,4946.089844,4893.707031,4946.089844,4945.942871,2475154300
6/11/2014,4942.725098,4971.945801,4939.979004,4971.945801,4971.79834,2814984900
6/12/2014,4963.116211,4965.882813,4920.986816,4934.407227,4934.260742,2723002200
6/13/2014,4927.371094,4929.611816,4918.478027,4926.663086,4926.51709,2247064900
6/16/2014,4924.067871,4929.551758,4880.160156,4885.458984,4885.313965,2697394000
6/17/2014,4889.71582,4909.51709,4878.318848,4909.51709,4909.371094,2556769800
6/18/2014,4906.544922,4906.669922,4881.950195,4887.859863,4887.714844,2741488900
6/19/2014,4895.963867,4900.321777,4859.203125,4864.272949,4864.128906,2934136600
6/20/2014,4874.973145,4884.48291,4847.701172,4847.701172,4847.557129,2463631900
6/23/2014,4857.922852,4868.02002,4840.979004,4842.128906,4841.984863,2883619500
6/24/2014,4847.425781,4869.018066,4847.425781,4862.240234,4862.096191,3176884500
6/25/2014,4859.883789,4875.023926,4838.981934,4838.981934,4838.838379,2963160700
6/26/2014,4846.981934,4872.419922,4846.213867,4872.419922,4872.274902,3035146300
6/27/2014,4864.183105,4871.077148,4835.037109,4845.133789,4844.989746,3081549600
6/30/2014,4847.204102,4878.582031,4845.605957,4878.582031,4878.437012,3439367500
7/1/2014,4877.649902,4884.825195,4862.419922,4884.825195,4884.680176,3189429000
7/2/2014,4887.850098,4908.273926,4879.199219,4908.273926,4908.12793,2759105400
7/3/2014,4905.731934,4908.234863,4887.976074,4888.734863,4888.589844,3138622900
7/4/2014,4884.441895,4917.671875,4884.441895,4905.825195,4905.679199,3780569500
7/7/2014,4921.786133,4989.030762,4918.865234,4989.030762,4988.882324,5242722100
7/8/2014,5008.462891,5050.559082,5008.153809,5024.711914,5024.5625,5892173000
7/9/2014,null,null,null,null,null,null
7/10/2014,5109.615234,5165.416016,5072.98291,5098.009766,5097.858398,7732344900
7/11/2014,5073.144043,5078.703125,5002.984863,5032.599121,5032.449707,3587991200
7/14/2014,5041.353027,5047.76123,4999.854004,5021.062988,5020.913574,3225298700
7/15/2014,5032.958984,5070.820801,5032.958984,5070.820801,5070.67041,3845008200
7/16/2014,5076.27002,5132.727051,5076.27002,5113.930176,5113.77832,5393410100
7/17/2014,5128.506836,5136.777832,5039.347168,5071.202148,5071.051758,4149764800
7/18/2014,5048.882813,5100.778809,5040.250977,5087.01416,5086.863281,3332014200
7/21/2014,5107.461914,5129.98877,5107.461914,5127.123047,5126.971191,4756509300
7/22/2014,5141.969238,5155.03418,5014.012207,5083.520996,5083.370117,5599456500
7/23/2014,5104.830078,5139.666016,5087.220215,5093.22998,5093.078613,4140362800
7/24/2014,5109.998047,5119.492188,5080.059082,5098.641113,5098.489746,3384862600
7/25/2014,5104.556152,5110.171875,5059.992188,5088.801758,5088.650879,3843185100
8/4/2014,5076.227051,5119.245117,5050.51709,5119.245117,5119.093262,3551351600
8/5/2014,5123.064941,5124.98291,5091.293945,5109.086914,5108.935059,3707595800
8/6/2014,5081.816895,5085.723145,5050.690918,5058.227051,5058.07666,3540112600
8/7/2014,5052.091797,5068.417969,5043.524902,5066.978027,5066.827637,3906723300
8/8/2014,5068.028809,5076.556152,5048.00293,5053.759766,5053.609863,2949595200
8/11/2014,5090.773926,5113.23584,5087.986816,5113.23584,5113.083984,3287068400
8/12/2014,5129.121094,5144.006836,5127.213867,5132.39502,5132.242676,4120244400
8/13/2014,5137.195801,5168.269043,5134.230957,5168.269043,5168.115234,3565898600
8/14/2014,5170.475098,5177.981934,5133.48877,5155.546875,5155.394043,4165099800
8/15/2014,5155.588867,5161.35498,5144.073242,5148.961914,5148.809082,3366830300
8/18/2014,5154.395996,5165.580078,5147.38623,5156.750977,5156.598145,3596645100
8/19/2014,5171.553223,5178.326172,5160.153809,5165.167969,5165.014648,3742960600
8/20/2014,5167.595215,5190.933105,5166.874023,5190.166992,5190.013184,3348684000
8/21/2014,5190.166992,5206.13623,5154.686035,5206.13623,5205.981445,3522956100
8/22/2014,5215.831055,5223.975098,5186.562012,5198.895996,5198.741699,3612021400
8/25/2014,5194.474121,5200.009766,5177.689941,5184.956055,5184.802246,3387884800
8/26/2014,5191.25293,5195.10791,5144.265137,5146.551758,5146.398926,4014668500
8/27/2014,5144.961914,5171.382813,5144.961914,5165.24707,5165.09375,3263410000
8/28/2014,5166.209961,5194.475098,5165.015137,5184.479004,5184.325195,3653332600
8/29/2014,5175.263184,5192.829102,5136.862793,5136.862793,5136.709961,3348770800
9/1/2014,5159.942871,5179.85498,5157.338867,5177.618164,5177.464355,2936904800
9/2/2014,5179.332031,5201.950195,5179.332031,5201.585938,5201.431641,3506826200
9/3/2014,5206.123047,5226.253906,5206.123047,5224.134766,5223.979492,3859792100
9/4/2014,5225.289063,5232.663086,5195.403809,5205.321777,5205.166992,3533460500
9/5/2014,5200.366211,5224.299805,5199.90918,5217.334961,5217.180176,3508229700
9/8/2014,5241.233887,5262.567871,5241.143066,5246.48291,5246.327148,3276630200
9/9/2014,5249.081055,5251.664063,5197.119141,5197.119141,5196.964844,3895809800
9/10/2014,5190.25,5190.25,5129.733887,5142.991211,5142.838379,4402429200
9/11/2014,5147.092773,5178.303223,5133.033203,5133.033203,5132.880859,4900271600
9/12/2014,5135.10498,5156.973145,5127.728027,5143.710938,5143.558105,3184678500
9/15/2014,5118.266113,5148.721191,5117.726074,5144.897949,5144.745117,3035596800
9/16/2014,5151.788086,5156.727051,5130.50293,5130.50293,5130.350586,2983397400
9/17/2014,5159.14209,5198.291016,5157.86084,5188.184082,5188.030273,3982734700
