Date,Open,High,Low,Close,Adj Close,Volume
2019-05-28,28275.000000,28850.000000,28275.000000,28675.000000,28675.000000,41984600
2019-05-29,29000.000000,29475.000000,28650.000000,28700.000000,28700.000000,26608900
2019-05-30,28700.000000,28700.000000,28700.000000,28700.000000,28700.000000,0
2019-05-31,28700.000000,29350.000000,28675.000000,29100.000000,29100.000000,19375000
2019-06-03,29100.000000,29100.000000,29100.000000,29100.000000,29100.000000,0
2019-06-04,29100.000000,29100.000000,29100.000000,29100.000000,29100.000000,0
2019-06-05,29100.000000,29100.000000,29100.000000,29100.000000,29100.000000,0
2019-06-06,29100.000000,29100.000000,29100.000000,29100.000000,29100.000000,0
2019-06-07,29100.000000,29100.000000,29100.000000,29100.000000,29100.000000,0
2019-06-10,30000.000000,30950.000000,29050.000000,29400.000000,29400.000000,35847600
2019-06-11,29500.000000,29800.000000,29225.000000,29550.000000,29550.000000,14580200
2019-06-12,29200.000000,29500.000000,29100.000000,29225.000000,29225.000000,13851100
2019-06-13,29425.000000,29425.000000,28950.000000,29025.000000,29025.000000,15760500
2019-06-14,29225.000000,29225.000000,28950.000000,29000.000000,29000.000000,11444100
2019-06-17,29050.000000,29200.000000,28950.000000,28975.000000,28975.000000,16724800
2019-06-18,28975.000000,29500.000000,28975.000000,29500.000000,29500.000000,15757600
2019-06-19,29500.000000,29800.000000,29450.000000,29700.000000,29700.000000,13388900
2019-06-20,29500.000000,29700.000000,29025.000000,29550.000000,29550.000000,11900900
2019-06-21,29550.000000,29675.000000,29200.000000,29400.000000,29400.000000,28829800
